Row,sepal_length,sepal_width,petal_length,petal_width,class
82,5.8,2.7,3.9,1.2,Iris-versicolor
134,6.1,2.6,5.6,1.4,Iris-virginica
114,5.8,2.8,5.1,2.4,Iris-virginica
42,4.4,3.2,1.3,0.2,Iris-setosa
109,7.2,3.6,6.1,2.5,Iris-virginica
57,4.9,2.4,3.3,1.0,Iris-versicolor
1,4.9,3.0,1.4,0.2,Iris-setosa
70,5.9,3.2,4.8,1.8,Iris-versicolor
25,5.0,3.0,1.6,0.2,Iris-setosa
84,5.4,3.0,4.5,1.5,Iris-versicolor
66,5.6,3.0,4.5,1.5,Iris-versicolor
133,6.3,2.8,5.1,1.5,Iris-virginica
102,7.1,3.0,5.9,2.1,Iris-virginica
107,7.3,2.9,6.3,1.8,Iris-virginica
26,5.0,3.4,1.6,0.4,Iris-setosa
23,5.1,3.3,1.7,0.5,Iris-setosa
123,6.3,2.7,4.9,1.8,Iris-virginica
130,7.4,2.8,6.1,1.9,Iris-virginica
21,5.1,3.7,1.5,0.4,Iris-setosa
12,4.8,3.0,1.4,1.2054054054054062,Iris-setosa
71,6.1,2.8,4.0,1.3,Iris-versicolor
128,6.4,2.8,3.748630136986304,2.1,Iris-virginica
48,5.3,3.7,1.5,0.2,Iris-setosa
72,6.3,2.5,4.9,1.5,Iris-versicolor
88,5.6,3.0,4.1,1.3,Iris-versicolor
148,6.2,3.4,5.4,2.3,Iris-virginica
74,6.4,2.9,4.3,1.3,Iris-versicolor
96,5.7,2.9,4.2,1.3,Iris-versicolor
63,6.1,2.9,4.7,1.4,Iris-versicolor
132,6.4,2.8,5.6,2.2,Iris-virginica
39,5.1,3.4,1.5,0.2,Iris-setosa
53,5.5,2.3,4.0,1.3,Iris-versicolor
79,5.7,2.6,3.5,1.0,Iris-versicolor
10,5.4,3.7,1.5,0.2,Iris-setosa
50,7.0,3.2,4.7,1.4,Iris-versicolor
49,5.0,3.3,1.4,0.2,Iris-setosa
43,5.0,3.5,1.6,0.6,Iris-setosa
135,7.7,3.0,6.1,2.3,Iris-virginica
40,5.0,3.5,1.3,0.3,Iris-setosa
115,6.4,3.2,5.3,2.3,Iris-virginica
142,5.8,2.7,5.1,1.9,Iris-virginica
69,5.6,2.5,3.9,1.1,Iris-versicolor
17,5.1,3.5,1.4,0.3,Iris-setosa
46,5.1,3.8,1.6,0.2,Iris-setosa
54,6.5,2.8,4.6,1.5,Iris-versicolor
126,6.2,2.8,4.8,1.8,Iris-virginica
61,5.9,3.0,4.2,1.5,Iris-versicolor
124,6.7,3.3,5.7,2.1,Iris-virginica
117,7.7,3.8,6.7,2.2,Iris-virginica
20,5.4,3.4,1.7,0.2,Iris-setosa
146,6.3,2.5,5.0,1.9,Iris-virginica
35,5.0,3.2,1.2,0.2,Iris-setosa
6,4.6,3.056462585034015,1.4,0.3,Iris-setosa
15,5.7,4.4,1.5,0.4,Iris-setosa
28,5.2,3.4,1.4,0.2,Iris-setosa
97,6.2,2.9,4.3,1.3,Iris-versicolor
56,6.3,3.3,4.7,1.6,Iris-versicolor
81,5.5,2.4,3.7,1.0,Iris-versicolor
98,5.1,2.5,3.0,1.1,Iris-versicolor
149,5.9,3.0,5.1,1.8,Iris-virginica
60,5.0,2.0,3.5,1.0,Iris-versicolor
147,6.5,3.0,5.2,2.0,Iris-virginica
104,6.5,3.0,5.8,2.2,Iris-virginica
52,6.9,3.1,4.9,1.5,Iris-versicolor
22,4.6,3.6,1.0,0.2,Iris-setosa
75,6.6,3.0,4.4,1.4,Iris-versicolor
37,4.9,3.1,1.5,0.1,Iris-setosa
77,6.7,3.0,5.0,1.7,Iris-versicolor
145,5.836486486486487,3.0,5.2,2.3,Iris-virginica
64,5.6,2.9,3.6,1.2054054054054062,Iris-versicolor
136,6.3,3.4,5.6,2.4,Iris-virginica
94,5.6,2.7,4.2,1.3,Iris-versicolor
127,6.1,3.056462585034015,4.9,1.8,Iris-virginica
87,6.3,2.3,4.4,1.3,Iris-versicolor
92,5.8,2.6,4.0,1.2,Iris-versicolor
95,5.7,3.0,4.2,1.2,Iris-versicolor
139,6.9,3.1,5.4,2.1,Iris-virginica
76,6.8,2.8,4.8,1.4,Iris-versicolor
32,5.2,4.1,1.5,0.1,Iris-setosa
101,5.8,2.7,5.1,1.9,Iris-virginica
13,4.3,3.0,1.1,0.1,Iris-setosa
24,4.8,3.4,1.9,0.2,Iris-setosa
59,5.2,2.7,3.9,1.4,Iris-versicolor
45,4.8,3.0,1.4,0.3,Iris-setosa
34,4.9,3.1,1.5,0.1,Iris-setosa
131,7.9,3.8,6.4,2.0,Iris-virginica
93,5.0,2.3,3.3,1.0,Iris-versicolor
47,4.6,3.2,1.4,0.2,Iris-setosa
116,6.5,3.0,5.5,1.8,Iris-virginica
9,4.9,3.1,1.5,0.1,Iris-setosa
119,6.0,2.2,5.0,1.5,Iris-virginica
90,5.5,2.6,4.4,1.2,Iris-versicolor
14,5.8,4.0,1.2,0.2,Iris-setosa
16,5.4,3.9,1.3,0.4,Iris-setosa
111,6.4,2.7,5.3,1.9,Iris-virginica
85,6.0,3.4,4.5,1.6,Iris-versicolor
89,5.5,2.5,4.0,1.3,Iris-versicolor
33,5.5,4.2,1.4,0.2,Iris-setosa
29,4.7,3.2,1.6,0.2,Iris-setosa
120,6.9,3.2,5.7,2.3,Iris-virginica
78,6.0,2.9,4.5,1.5,Iris-versicolor
91,6.1,3.0,4.6,1.4,Iris-versicolor
3,4.6,3.1,1.5,0.2,Iris-setosa
55,5.7,2.8,4.5,1.3,Iris-versicolor
138,6.0,3.0,4.8,1.8,Iris-virginica
